orginial, finder, levenshtein, fuzzy, fuzzySearch
correct,correct , correct, correct, correct
incorrect,incorrect , incorrect, incorrect, incorrect
correctly,correctly , correctly, correctly, correctly
alternative,alternative , alternative, alternative, alternative
fuzzy,fuzzy , fuzz, fuzzy, fuzzy
busy,busy , bus, abstemiously, abstemiously
acommodate,accommodate , accommodate, accommodate, accommodate
acknolege,acknowledge , acknowledge, acknowledge, acknowledge
argumnt,argument , argument, arguementum, arguementum
beggining,begging , begging, undefined, undefined
beleive,beehive , beehive, undefined, undefined
benefitted,beneficed , benefice, undefined, undefined
calender,calender , calender, calender, calender
cemetary,cemetery , cemetery, complementarity, complementarity
commited,committed , commit, commitedness, commitedness
concience,conscience , conscience, coincidence, coincidence
definately,indefinitely , definite, undefined, undefined
dilemna,dilemma , dilemma, undefined, undefined
embarass,embarassed , embarras, disembarrass, disembarrass
enviroment,environment , environment, environment, environment
existance,existence , existence, undefined, undefined
facinated,fascinated , fascinate, fascinated, fascinated
foriegn,foreign , boring, undefined, undefined
freind,freund , freund, aforementioned, aforementioned
greatful,regretful , dreadful, undefined, undefined
garantee,guarantee , grantee, guarantee, guarantee
harrass,harass , arras, hardinggrass, hardinggrass
hieght,hight , high, undefined, undefined
humourous,humorous , humorous, undefined, undefined
independant,independent , independent, undefined, undefined
inteligence,intelligence , intelligence, counterintelligence, counterintelligence
itslef,itself , isle, undefined, undefined
jewelery,jewellery , jeweler, jewellery, jewellery
judgemnt,judgement , judgement, judgement, judgement
knowlege,knowlege , knowlege, acknowledge, acknowledge
lieutenent,lieutenant , lieutenant, undefined, undefined
lisense,listened , license, light-sensitive, light-sensitive
maintane,maintained , maintain, maintainable, maintainable
mischevious,mischievous , mischievous, undefined, undefined
nieve,nineveh , kiev, antihypertensive, antihypertensive
occured,occurred , occur, occurred, occurred
oppurtunity,orotundity , opportunity, undefined, undefined
paralel,parallel , parable, antiparallel, antiparallel
perserverance,perserverance , perserverance, perserverance, perserverance
playwrite,playwright , playsuit, undefined, undefined
posession,posession , posession, dispossession, dispossession
privelege,driveler , privilege, undefined, undefined
pronounciation,pronunciation , pronunciation, undefined, undefined
publically,publicly , publican, undefined, undefined
recomend,recommend , recommend, recommend, recommend
relevent,eleventh , eleven, undefined, undefined
resturant,restaurant , restaurant, restaurant, restaurant
rythm,rhythm , myth, anerythmon, anerythmon
sacrefice,sacrificial , sacrifice, undefined, undefined
seperate,steermate , separate, distemperature, distemperature
speach,peach , peach, undefined, undefined
suceed,succeed , succeed, saucer-eyed, saucer-eyed
supress,suppress , suppress, immunosuppressant, immunosuppressant
tommorrow,tomorrow , tomorrow, undefined, undefined
truely,truly , cruel, abstrusely, abstrusely
twelth,twelfth , tweet, twelfth, twelfth
unforseen,unforeseen , unforeseen, unforeseen, unforeseen
untill,untilled , until, authentically, authentically
vaccum,vaccinium , vacuum, vaccinium, vaccinium
vehical,vehicle , vesical, servomechanical, servomechanical
vigerous,vigorous , vigorous, undefined, undefined
volenteer,volente , volente, undefined, undefined
wether,wether , wether, all-weather, all-weather
wich,which , cic, bewitch, bewitch
wierd,wierdo , bier, bewildered, bewildered
withold,withhold , withal, withhold, withhold
writting,witting , witting, undefined, undefined
acheive,achieve , aceite, undefined, undefined
acquaintence,acquaintenace , acquaintance, acquaintenace, acquaintenace
arguemnt,arguementum , argent, arguementum, arguementum
assasinate,assassinate , assassinate, assassinate, assassinate
beleiveable,believably , receivable, undefined, undefined
commision,commission , commission, commiseration, commiseration
concious,concious , concious, class-conscious, class-conscious
dissapoint,disappoint , disappoint, undefined, undefined
exagerate,exaggerate , exaggerate, exaggerate, exaggerate
fourty,fourthly , court, fourthly, fourthly
grammer,gammer , crammer, gotterdammerung, gotterdammerung
guage,gage , gag, interlanguage, interlanguage
happend,happen , happen, undefined, undefined
ignorence,incoherence , ignorance, undefined, undefined
irresistable,irresistible , irresistible, undefined, undefined
knowlegeable,acknowledgeable , acknowledgeable, acknowledgeable, acknowledgeable
lazyness,lazybones , haziness, undefined, undefined
lenght,length , length, lady-of-the-night, lady-of-the-night
managment,management , management, management, management
noticable,noticeable , noticeable, noticeable, noticeable
occurence,occurence , occurence, nonoccurrence, nonoccurrence
overwelmed,overwhelmed , overwhelmed, overwhelmed, overwhelmed
personel,personnel , person, antipersonnel, antipersonnel
prefered,preference , prefer, undefined, undefined
recieve,relieve , relieve, undefined, undefined
relunctant,reluctant , reluctant, undefined, undefined
relize,realize , belize, realizable, realizable
repeled,unrepealed , repel, unrepealed, unrepealed
seige,seigneur , beige, deservingness, deservingness
siezure,sinecure , secure, undefined, undefined
tounge,lounge , lounge, undefined, undefined
truely,truly , cruel, abstrusely, abstrusely
untill,untilled , until, authentically, authentically
visious,viscous , vicious, undefined, undefined
